source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-04T08:13:26+00:00,3117735,Madrid,ES,2026-06-04,40.4375,-3.6875,Europe/Madrid,28.1,19.0,23.6,0.0,0.0,0.0,16.7
forecast,2026-06-04T08:13:26+00:00,3117735,Madrid,ES,2026-06-05,40.4375,-3.6875,Europe/Madrid,27.4,13.3,20.7,0.0,0.0,0.0,18.6
forecast,2026-06-04T08:13:26+00:00,3117735,Madrid,ES,2026-06-06,40.4375,-3.6875,Europe/Madrid,30.3,16.6,23.6,0.0,0.0,0.0,11.4
forecast,2026-06-04T08:13:26+00:00,3117735,Madrid,ES,2026-06-07,40.4375,-3.6875,Europe/Madrid,32.1,17.4,25.1,0.0,0.0,0.0,9.2
forecast,2026-06-04T08:13:26+00:00,3117735,Madrid,ES,2026-06-08,40.4375,-3.6875,Europe/Madrid,33.9,19.5,26.8,0.0,0.0,0.0,15.9
forecast,2026-06-04T08:13:26+00:00,3117735,Madrid,ES,2026-06-09,40.4375,-3.6875,Europe/Madrid,31.6,18.4,25.2,0.0,0.0,0.0,19.5
forecast,2026-06-04T08:13:26+00:00,3117735,Madrid,ES,2026-06-10,40.4375,-3.6875,Europe/Madrid,32.1,17.3,24.3,0.0,0.0,0.0,20.9
forecast,2026-06-04T08:13:26+00:00,3128760,Barcelona,ES,2026-06-04,41.375,2.125,Europe/Madrid,24.7,17.7,22.1,6.4,0.4,0.0,23.7
forecast,2026-06-04T08:13:26+00:00,3128760,Barcelona,ES,2026-06-05,41.375,2.125,Europe/Madrid,23.0,17.6,19.9,0.0,0.0,0.0,20.7
forecast,2026-06-04T08:13:26+00:00,3128760,Barcelona,ES,2026-06-06,41.375,2.125,Europe/Madrid,25.3,18.9,21.9,0.0,0.0,0.0,17.7
forecast,2026-06-04T08:13:26+00:00,3128760,Barcelona,ES,2026-06-07,41.375,2.125,Europe/Madrid,25.6,20.0,22.8,0.0,0.0,0.0,11.5
forecast,2026-06-04T08:13:26+00:00,3128760,Barcelona,ES,2026-06-08,41.375,2.125,Europe/Madrid,26.5,19.3,23.1,0.0,0.0,0.0,14.4
forecast,2026-06-04T08:13:26+00:00,3128760,Barcelona,ES,2026-06-09,41.375,2.125,Europe/Madrid,25.6,21.0,23.2,0.0,0.0,0.0,12.5
forecast,2026-06-04T08:13:26+00:00,3128760,Barcelona,ES,2026-06-10,41.375,2.125,Europe/Madrid,25.5,20.5,22.8,0.0,0.0,0.0,14.4
forecast,2026-06-04T08:13:26+00:00,2509954,Valencia,ES,2026-06-04,39.5,-0.375,Europe/Madrid,31.1,19.7,24.9,0.0,0.0,0.0,24.2
